input_image,gt_image,TP,TN,FP,FN,recall,specificity,FPR,FNR,PWC,precision,f_measure
dataset\turnpike_0_5fps\input\in000800.jpg,dataset\turnpike_0_5fps\groundtruth\gt000800.png,5,48393,5058,18224,0.0002742882220637446,0.9053712746253578,0.09462872537464219,0.9997257117779362,32.48046875,0.0009875567845151097,0.000429331959471063
dataset\turnpike_0_5fps\input\in000801.jpg,dataset\turnpike_0_5fps\groundtruth\gt000801.png,864,61400,4199,5217,0.142081894425259,0.9359898778944801,0.0640101221055199,0.857918105574741,13.136160714285714,0.17064981236421095,0.15506101938262742
dataset\turnpike_0_5fps\input\in000802.jpg,dataset\turnpike_0_5fps\groundtruth\gt000802.png,579,58782,4484,7835,0.06881388162586166,0.9291246483103088,0.07087535168969114,0.9311861183741383,17.186104910714285,0.11435907564684969,0.08592416709950285
dataset\turnpike_0_5fps\input\in000803.jpg,dataset\turnpike_0_5fps\groundtruth\gt000803.png,2348,52484,2715,14133,0.1424670833080517,0.9508143263464918,0.04918567365350822,0.8575329166919483,23.504464285714285,0.46375666600829546,0.21797252135165243
dataset\turnpike_0_5fps\input\in000804.jpg,dataset\turnpike_0_5fps\groundtruth\gt000804.png,547,55421,4516,11196,0.046580941837690536,0.9246542202646112,0.07534577973538882,0.9534190581623094,21.919642857142858,0.10803871222595299,0.06509579911936213
dataset\turnpike_0_5fps\input\in000805.jpg,dataset\turnpike_0_5fps\groundtruth\gt000805.png,1312,60348,3751,6269,0.173064239546234,0.9414811463517372,0.05851885364826284,0.826935760453766,13.978794642857142,0.2591349002567648,0.20752926289149007
dataset\turnpike_0_5fps\input\in000806.jpg,dataset\turnpike_0_5fps\groundtruth\gt000806.png,1010,57558,4053,9059,0.10030787565796008,0.9342162925451624,0.06578370745483761,0.8996921243420399,18.292410714285715,0.19948647047205215,0.13349193761564895
dataset\turnpike_0_5fps\input\in000807.jpg,dataset\turnpike_0_5fps\groundtruth\gt000807.png,679,59827,4384,6790,0.09090909090909091,0.931725093831275,0.06827490616872499,0.9090909090909091,15.588727678571429,0.1341102113371519,0.1083625917650814
dataset\turnpike_0_5fps\input\in000808.jpg,dataset\turnpike_0_5fps\groundtruth\gt000808.png,1733,62941,3330,3676,0.3203919393603254,0.94975177679528,0.05024822320472001,0.6796080606396746,9.773995535714286,0.34228718151293697,0.33097784568372807
dataset\turnpike_0_5fps\input\in000809.jpg,dataset\turnpike_0_5fps\groundtruth\gt000809.png,1717,56835,3346,9782,0.149317331941908,0.9444010568119506,0.055598943188049386,0.850682668058092,18.314732142857142,0.3391269998024886,0.20734210844100953
dataset\turnpike_0_5fps\input\in000810.jpg,dataset\turnpike_0_5fps\groundtruth\gt000810.png,527,58842,4536,7775,0.06347867983618405,0.9284294234592445,0.07157057654075547,0.936521320163816,17.174944196428573,0.10408848508789255,0.07886270108492331
dataset\turnpike_0_5fps\input\in000811.jpg,dataset\turnpike_0_5fps\groundtruth\gt000811.png,1005,54946,4058,11671,0.07928368570526981,0.9312250016948004,0.06877499830519965,0.9207163142947302,21.943359375,0.19849891368753703,0.11330965668865214
dataset\turnpike_0_5fps\input\in000812.jpg,dataset\turnpike_0_5fps\groundtruth\gt000812.png,370,57007,4693,9610,0.03707414829659319,0.9239384116693679,0.07606158833063209,0.9629258517034068,19.953962053571427,0.07307920205411811,0.04919231536262714
dataset\turnpike_0_5fps\input\in000813.jpg,dataset\turnpike_0_5fps\groundtruth\gt000813.png,593,61067,4470,5550,0.09653263877584242,0.9317942536277217,0.06820574637227826,0.9034673612241576,13.978794642857142,0.117124234643492,0.10583615920042835
dataset\turnpike_0_5fps\input\in000814.jpg,dataset\turnpike_0_5fps\groundtruth\gt000814.png,1048,58698,4015,7919,0.1168729786996766,0.9359781863409501,0.06402181365904996,0.8831270213003234,16.648995535714285,0.206991902034367,0.14939415538132575
dataset\turnpike_0_5fps\input\in000815.jpg,dataset\turnpike_0_5fps\groundtruth\gt000815.png,291,57821,4772,8796,0.03202377022119511,0.9237614429728563,0.0762385570271436,0.9679762297788049,18.928571428571427,0.05747580485877938,0.04113074204946996
